name,x,y,amount2559,amount2560,amount2561
ทวีวัฒนา,65,165,97.98,97.85,108.34
บางแค,65,245,271.74,288.04,286.52
บางบอน,65,405,206.39,218.44,224.69
หนองแขม,65,325,167.71,166.66,176.08
จอมทอง,140,360,196.2,191.37,210.11
ตลิ่งชัน,140,200,132.13,140.32,149.44
บางขุนเทียน,140,445,304.52,328.92,335.67
ภาษีเจริญ,140,280,160.3,156.05,162.9
คลองสาน,215,390,126.26,125.17,124.98
ทุ่งครู,215,550,129.18,141.54,141.53
ธนบุรี,215,310,157.79,161.44,164.15
บางกอกน้อย,215,150,193.41,192.57,171.72
บางกอกใหญ่,215,230,79.25,75.66,78.79
ราษฎร์บูรณะ,215,470,114.3,117.82,118.92
บางคอแหลม,290,425,137.19,138.93,137.1
บางพลัด,290,105,150.44,154.69,156.89
ป้อมปราบศัตรูพ่าย,290,265,83.02,83.34,82.84
พระนคร,290,185,191.92,196.14,198.79
ยานนาวา,290,505,185.17,185.44,186.32
สัมพันธวงศ์,290,345,55.74,56.43,55.24
ดุสิต,365,135,172.18,174.66,171.02
บางซื่อ,365,55,162.41,169,165.4
บางรัก,365,375,159.25,169.08,156.12
ปทุมวัน,365,295,291.11,306.4,306.45
ราชเทวี,365,215,202.59,212.67,221.5
สาทร,365,455,180.01,180.77,166.59
คลองเตย,440,415,326.89,318.89,300.43
จตุจักร,440,95,389.74,415.4,431.98
ดินแดง,440,255,272.37,283.16,291.41
พญาไท,440,175,164.94,171.28,174.85
วัฒนา,440,335,290.85,297.22,288.71
พระโขนง,515,445,146.43,150.1,145.34
ลาดพร้าว,515,205,188.35,202.94,217.62
วังทองหลาง,515,285,224.02,229.72,232.99
หลักสี่,515,125,161.73,177.21,185.88
ห้วยขวาง,515,365,196.32,208.45,227.17
ดอนเมือง,590,80,188.58,199.63,213.25
บางกะปิ,590,320,321.6,338.22,342.69
บางเขน,590,160,278.87,299.56,309.47
บึงกุ่ม,590,240,190.86,200.42,205.05
สวนหลวง,590,400,234.02,242.22,233.9
คันนายาว,665,195,141.88,141.27,150.5
บางนา,665,435,211.75,222.39,225.63
ประเวศ,665,355,273.18,291.51,294.26
สะพานสูง,665,275,122.46,126.31,126.9
สายไหม,665,115,205.84,226.64,239.19
คลองสามวา,740,70,174.95,193.4,199.41
มีนบุรี,740,230,188.66,192.7,189.66
ลาดกระบัง,740,310,261.64,284.21,296.26
หนองจอก,740,150,118.98,129.34,137.16
